"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2016:Q1","Next9",33296861,35776878,7193143,961565,6919001,10973342,2975229,6754598,2480017,2060594,270775,148647
"2016:Q1","Next40",25463386,31408739,10108934,2132332,2446393,10262233,1352849,5105998,5945352,4603809,1202943,138600
"2016:Q1","Bottom50",1065048,5452890,2687157,1154393,139032,584810,137286,750213,4387842,2353886,1839932,194024
"2016:Q2","Top1",27717364,28483720,3589511,831622,10410358,1838172,5434816,6379242,766357,473340,86937,206080
"2016:Q2","Next9",33915825,36405508,7406282,947617,7103880,11114151,2944159,6889419,2489683,2060430,278489,150764
"2016:Q2","Next40",25594329,31625000,10309782,2157246,2489310,10325016,1399660,4943985,6030671,4651768,1233705,145197
"2016:Q2","Bottom50",1084066,5491139,2717994,1162417,141834,586479,134393,748022,4407073,2349554,1865970,191549
"2016:Q3","Top1",28232244,29017655,3642767,822094,10761339,1872696,5542856,6375903,785411,483072,90893,211446
"2016:Q3","Next9",34524147,37039806,7518156,963767,7307781,11305229,3020365,6924507,2515659,2071204,285695,158761
"2016:Q3","Next40",26085472,32217263,10567585,2171240,2537875,10428269,1416508,5095786,6131791,4708787,1267017,155987
"2016:Q3","Bottom50",1155222,5597067,2800456,1164135,144989,593636,138987,754865,4441846,2345713,1906225,189908
"2016:Q4","Top1",28211282,28988306,3738478,812922,10908202,1830711,5564188,6133805,777024,485880,86593,204551
"2016:Q4","Next9",34589144,37121745,7608528,985476,7415865,11381411,3053336,6677128,2532601,2103399,287926,141276
"2016:Q4","Next40",26730859,32906472,10807197,2182487,2554353,10482821,1448486,5431128,6175612,4729803,1295028,150781
"2016:Q4","Bottom50",1149598,5633647,2793539,1173263,144929,609694,139913,772309,4484049,2337999,1951213,194838
"2017:Q1","Top1",29139346,29914114,3840988,815837,11594380,1821178,5637329,6204402,774769,488879,87843,198046
"2017:Q1","Next9",35552264,38112670,7724464,1004359,7854645,11619336,3068614,6841253,2560406,2139819,281338,139249
"2017:Q1","Next40",27252234,33438992,11036679,2204778,2661739,10681085,1462352,5392359,6186758,4750178,1285185,151396
